"","vocab_app",""
"1362","conceptualization","8"
"1363","configuration","8"
"1364","conscious","8"
"1365","constant","8"
"1366","continuous","8"
"1367","contributor","8"
"1368","croissance","8"
"1369","day","8"
"1370","demographic","8"
"1371","detail","8"
"1372","developed","8"
"1373","devote","8"
"1374","digital","8"
"1375","distributive","8"
"1376","domination","8"
"1377","ecofeminist","8"
"1378","elucidate","8"
"1379","emancipatory","8"
"1380","embody","8"
"1381","employee","8"
"1382","endeavour","8"
"1383","european_union","8"
"1384","everyday","8"
"1385","evolution","8"
"1386","expression","8"
"1387","extractivism","8"
"1388","failure","8"
"1389","favor","8"
"1390","flourishing","8"
"1391","following","8"
"1392","formal","8"
"1393","former","8"
"1394","frugal","8"
"1395","harm","8"
"1396","healthy","8"
"1397","hop","8"
"1398","illuminate","8"
"1399","image","8"
"1400","improvement","8"
"1401","inclusive","8"
"1402","interdisciplinary","8"
"1403","interested","8"
"1404","interesting","8"
"1405","investigation","8"
"1406","labour_productivity","8"
"1407","lay","8"
"1408","legitimize","8"
"1409","likewise","8"
"1410","localize","8"
"1411","locally","8"
"1412","locate","8"
"1413","lower","8"
"1414","maintenance","8"
"1415","making","8"
"1416","marginal","8"
"1417","marx","8"
"1418","meanwhile","8"
"1419","mere","8"
"1420","methodological","8"
"1421","micro","8"
"1422","myth","8"
"1423","nexus","8"
"1424","none","8"
"1425","object","8"
"1426","operation","8"
"1427","overconsumption","8"
"1428","per_se","8"
"1429","perform","8"
"1430","perhaps","8"
"1431","planned","8"
"1432","polanyi","8"
"1433","politician","8"
"1434","politico","8"
"1435","populism","8"
"1436","prefer","8"
"1437","prevalent","8"
"1438","prominent","8"
"1439","quantity","8"
"1440","quest","8"
"1441","quite","8"
"1442","rarely","8"
